中文片名,外文片名
牛宰褲,SLAXX
喬瑟與虎與魚群動畫版,"Josee, the Tiger and the Fish (Animation)"
靈冤而厲,Skin Walker
馬里蓋拉：革命先鋒,Marighella
劇場版 超人力霸王大河－新世代終結黑暗,ULTRAMAN TAIGA THE MOVIE：NEW GENERATION CLIMAX
魔物獵人,MONSTER HUNTER
李希特舒眠曲,Max Richter's Sleep
最美麗的歲月,THE BEST YEARS
蠢蛋告別式,Bye Bye Morons
約定的夢幻島,THE PROMISED NEVERLAND
愛的亡靈,Empire Of Passion
養鬼人,WANING MOON
捍衛救援,THE MARKSMAN
馬德里金庫盜數90分鐘,Way Down
皇家賓館,Hotel Royal
晨曦將至,True Mothers
倫敦生活,FLEABAG
冰血驚魂,Let It Snow
議事錄,HANSARD
凶宅怪談,Stigmatized Properties
倒數第N次分手,THE INCREDIBLE SHRINKING WKND
午夜密令,Six Minutes To Midnight
鬼故事收藏館,The Mortuary Collection
魔鬼誘惑,TEMPTING DEVILS
契約情人,MARRIAGE AS AGREEMENT
細物警探,The Little Things
丹寧風雲錄,Weaving Shibusa
男兒王,Number 1
法蘭克,FRANK
農場我的家,Gunda
T-34：玩命坦克,T-34
詐製片家,The Comeback Trail
永生戰,SeoBok
女畫家與偷畫賊,THE PAINTER AND THE THIEF
迴路追殺令,Boss Level
燕,Yan
愛不可失,RECIPE FOR HAPPINESS
諾亞方舟大冒險,Ooops! Thje Adventure Continues
騙騙愛上你,The Con-Heartist
女性日常,Force of Habit
100%小狼人,100%WOLF
諾亞方舟大冒險,Ooops! The Adventure Continues
超時空甩尾 經典重映,REDLINE
大鼻子情聖,CYRANO DE BERGERAC
嗜血慾女,VAMP
太陽不會動,The Sun Stands Still
湯姆貓與傑利鼠,TOM AND JERRY
STAND BY ME 哆啦A夢2,STAND BY ME DORAEMON 2
龍貓,My Neighbor Totoro
銀龍出任務,Dragon Rider
間諜之妻,Wife of a Spy
醉好的時光,Another Round
戰馬,WARHORSE
竊聽風暴,The Lives of Others
溫蒂,WENDY
夏目友人帳 特別上映版:喚石與可疑訪客,Natsume Yujin-cho: Ishiokoshi and Ayashiki Raihou-sha
澪之料理帖,Mio's Cookbook
鬼影,SHUTTER
終極異噬界,Cosmic Sin 
結婚計念日,Long Story Short
銀魂 THE FINAL,Gintama the Very Final
春風化雨,Dead Poets Society
偷天行動,Twist
噪反,Chaos Walking
小小的戀愛情事,A HISTORY OF LOVE
永遠的我們,SUPERNOVA
Fate/Grand Order-神聖圓桌領域卡美洛-Wandering; Agateram,Fate/Grand Order THE MOVIE Divine Realm of the Round Table:      Camelot Wandering；Agateram
撲殺援交妹,STOP THE BITCH CAMPAIGN REBOOT
鬼鄰居,The Other Side
我的母親 經典數位修復,All About My Mother
湯姆貓與傑利鼠 ,TOM AND JERRY
名偵探柯南：緋色的不在場證明,Detective Conan : The Scarlet Alibi
梵谷到我家,Van Gogh In Love
詐欺女王,I Care a Lot
鐵幕行動,IRONBARK
女也,WOMAN
幸福剛剛好,Music
金窩駭浪,THE NEST
游牧人生,Nomadland
末日終結戰,SKYLIN3S
尋龍使者：拉雅,Raya and the Last Dragon
魔戒首部曲：魔戒現身,The Lord of the Rings: The Fellowship of the Ring
魔戒三部曲：王者再臨,The Lord of the Rings: The Return of the King
魔戒二部曲：雙城奇謀,The Lord of the Rings: The Two Towers
淺田家！,The Asadas.
逆轉棋蹟,FAHIM
歡樂時光,Happy Hour
煙囪小鎮的普佩,POUPELLE OF CHIMNEY TOWN
警慌失措,30 Days Left
愛情瞎攪禍,"Love, Weddings & Other Disasters"
弒樂園,WILLY'S WONDERLAND
小說之神,Our Story
孩子別哭,I
父愁者聯盟,It's For Your Own Good 
波麗萊多里鬼屋,THE BANISHING
今天決定我愛你,New year blues
波斯語課,PERSIAN LESSONS
老娘演很大,BREAKING NEWS IN YUBA COUNTY
我愛你，你愛她，她愛他,LOVE AFFAIR(S)
一場大火之後,Collective
盜夢偵探,PAPRIKA
童心馬戲團,Poly
巴黎星空下,Under The Stars of Paris
兩人之間,Two Of Us
BTS崛起傳奇,BTS  GLOBAL TAKEOVER
型男斷捨離,100 THINGS
盡孝的滋味,THE WANDERING CHEF
魔坑,THE DEVIL BELOW
令人討厭的松子的一生,MEMORIES OF MATSUKO
前田建設奇幻營業部,Project Dreams – How to Build Mazinger Z’s Hangar
大獵逃,Hunted
綑著你，困著我 經典數位修復,Tie Me Up! Tie Me Down!
